区分,項目,内容,FEプラン（民泊）,FEプラン（旅館）,WSプラン（民泊）,WSプラン（旅館）
基本料金,企画料,宿泊施設の設計・インバウンド最適化,15万円（必須）,20万円（必須）,10万円（必須）,15万円（必須）
,調査代行料,申請要件調査・消防法確認,10万円（任意）,10万円（任意）,10万円（任意）,10万円（任意）
,運営代行料,宿泊売上の20%（OTA費別）,20%（必須）,20%（必須）,20%（必須）,20%（必須）
,家具家電販売,家具家電の仕入・設置,100万円（必須）,別途見積（必須）,別途見積（必須）,別途見積（必須）
,消耗品販売,消耗品の提供・交換,1万円（必須）,別途見積（必須）,別途見積（必須）,別途見積（必須）
初期システム費用,アカウントセットアップ料金,アカウント作成、SC/PMS連携設定,1万円（必須）,1万円（必須）,1万円（必須）,1万円（必須）
,タブレット,チェックイン用端末（Lenovo 9〜11インチ）,4.5万円（必須）,4.5万円（必須）,4.5万円（必須）,4.5万円（必須）
,Iotスマートロック連携キー,ゲスト用連携キー（営業形態で異なる）,3万円（必須）,別途見積（必須）,別途見積（必須）,別途見積（必須）
,システム連携費,旅館の場合に必要なシステム連携（※施設単位）,—,5万円（任意）,—,5万円（任意）
ランニング費用（月額）,ホスト用管理システム,SCやPMS、各種管理機能やレポート機能など,3千円（必須）,3千円（必須）,3千円（必須）,3千円（必須）
,ゲスト用管理システム,自動チェックイン/アウト、セルフチェックイン機能、本人確認機能など,2千円（必須）,2千円（必須）,2千円（必須）,2千円（必須）
,ビデオ通話,本人確認のためのビデオ通話（旅館のみ必須）,5千円（任意）,5千円（必須）,5千円（任意）,5千円（必須）
,IoTスマートロック連携,システムとの連携利用料（OPELO）,300円／部屋,300円／部屋,300円／部屋,300円／部屋
オプション費用（月額）,ブッキングエンジン①,自社サイトなどに宿泊予約機能を搭載しOTAを介さず予約から決済まで,5千円（任意）,5千円（任意）,5千円（任意）,5千円（任意）
,ブッキングエンジン②,部屋ごとに①利用分に発生する月額ランニングコスト,100円／部屋,100円／部屋,100円／部屋,100円／部屋
,決済連携機能③,ブッキングエンジン搭載した場合に必要な決済連携機能で部屋ごとに発生する月額ランニングコスト,300円／部屋,300円／部屋,300円／部屋,300円／部屋ß